origin,destination,distance
Scarborough (Malvern / Rouge River),Scarborough (Rouge Hill / Port Union / Highland Creek),3.93147804797437
Scarborough (Malvern / Rouge River),Scarborough (Guildwood / Morningside / Ellesmere),4.864190717901831
Scarborough (Malvern / Rouge River),Scarborough (Woburn),4.7783471059881615
Scarborough (Malvern / Rouge River),Scarborough (Cedarbrae),6.009861121077427
Scarborough (Malvern / Rouge River),Scarborough (Eglinton),7.876162326249809
Scarborough (Malvern / Rouge River),Scarborough (Kennedy Park / Ionview / East Birchmount Park),10.702192947756066
Scarborough (Malvern / Rouge River),Scarborough (The Golden Mile / Clairlea / Oakridge / Birchmount Park East),13.235830930223024
Scarborough (Malvern / Rouge River),Scarborough (Cliffside / Cliffcrest / Scarborough Village West),10.106248580601486
Scarborough (Malvern / Rouge River),Scarborough (Birch Cliff / Cliffside West),14.13271735571459
Scarborough (Malvern / Rouge River),Scarborough (Dorset Park / Wexford Heights / Scarborough Town Centre),8.362956265671995
Scarborough (Malvern / Rouge River),Scarborough (Wexford / Maryvale),10.936690392393304
Scarborough (Malvern / Rouge River),Scarborough (Agincourt),6.0233952292907125
Scarborough (Malvern / Rouge River),Scarborough (Clarks Corners / Tam O'Shanter / Sullivan),9.486906871232057
Scarborough (Malvern / Rouge River),Scarborough (Milliken / Agincourt North / Steeles East / L'Amoreaux East),7.168454795637343
Scarborough (Malvern / Rouge River),Scarborough (Steeles West / L'Amoreaux West),10.376042476919304
Scarborough (Malvern / Rouge River),Scarborough (Upper Rouge),2.759484821287503
Scarborough (Malvern / Rouge River),North York (Hillcrest Village),13.261622502165052
Scarborough (Malvern / Rouge River),North York (Fairview / Henry Farm / Oriole),12.907551430639241
Scarborough (Malvern / Rouge River),North York (Bayview Village),15.516462799201152
Scarborough (Malvern / Rouge River),North York (York Mills / Silver Hills),16.011919356092562
Scarborough (Malvern / Rouge River),Willowdale East (Newtonbrook),17.577683147718297
Scarborough (Malvern / Rouge River),Willowdale South,18.177802198138238
Scarborough (Malvern / Rouge River),North York (York Mills West),17.798695930192945
Scarborough (Malvern / Rouge River),Willowdale West,20.55049013453007
Scarborough (Malvern / Rouge River),North York (York Heights / Victoria Village / Parkway East),12.68273043863671
Scarborough (Malvern / Rouge River),Don Mills North,15.230536365973592
Scarborough (Malvern / Rouge River),Don Mills South (Flemingdon Park),14.184953196852954
Scarborough (Malvern / Rouge River),North York (Armour Heights / Wilson Heights / Downsview North),21.395276297220114
Scarborough (Malvern / Rouge River),North York (Northwood Park / York University),24.456377873319266
Scarborough (Malvern / Rouge River),Downsview East (CFB Toronto),23.588243661393
Scarborough (Malvern / Rouge River),Downsview West,27.008172439291293
Scarborough (Malvern / Rouge River),Downsview Central,25.64022193603462
Scarborough (Malvern / Rouge River),North York (Jane and Finch),27.019411176900817
Scarborough (Malvern / Rouge River),North York (Sweeney Park / Wigmore Park),13.50085228133507
Scarborough (Malvern / Rouge River),East York (Parkview Hill / Woodbine Gardens),14.956829980889516
Scarborough (Malvern / Rouge River),East York (Woodbine Heights),16.39493088839357
Scarborough (Malvern / Rouge River),East Toronto (The Beaches),16.86241209111976
Scarborough (Malvern / Rouge River),East York (Leaside),17.61830669024465
Scarborough (Malvern / Rouge River),East York (Thorncliffe Park),17.003982396483508
Scarborough (Malvern / Rouge River),East Toronto (The Danforth East),17.995498046641654
